ID	pLDDT_mean	pTM	ipTM	ranking_score	model_cif
WWF07309	0.74	0.67	0.67	0.798	structures/output/WWF07309/WWF07309_model.cif
WWF07311	0.84	0.83	0.83	0.862	structures/output/WWF07311/WWF07311_model.cif
WWF07312	0.93	0.93	0.93	0.938	structures/output/WWF07312/WWF07312_model.cif
WWF07313	0.77	0.76	0.76	0.811	structures/output/WWF07313/WWF07313_model.cif
WWF07317	0.87	0.83	0.83	0.846	structures/output/WWF07317/WWF07317_model.cif
WWF07318	0.8	0.77	0.77	0.858	structures/output/WWF07318/WWF07318_model.cif
WWF07321	0.81	0.52	0.52	0.693	structures/output/WWF07321/WWF07321_model.cif
WWF07324	0.9	0.74	0.74	0.762	structures/output/WWF07324/WWF07324_model.cif
WWF07329	0.91	0.91	0.91	0.951	structures/output/WWF07329/WWF07329_model.cif
WWF07330	0.71	0.63	0.63	0.703	structures/output/WWF07330/WWF07330_model.cif
WWF07331	0.8	0.82	0.82	0.876	structures/output/WWF07331/WWF07331_model.cif
WWF07335	0.82	0.81	0.81	0.869	structures/output/WWF07335/WWF07335_model.cif
WWF07336	0.78	0.82	0.82	0.853	structures/output/WWF07336/WWF07336_model.cif
WWF07338	0.81	0.77	0.77	0.813	structures/output/WWF07338/WWF07338_model.cif
WWF07340	0.87	0.84	0.84	0.887	structures/output/WWF07340/WWF07340_model.cif
WWF07346	0.84	0.82	0.82	0.899	structures/output/WWF07346/WWF07346_model.cif
WWF07354	0.84	0.81	0.81	0.902	structures/output/WWF07354/WWF07354_model.cif
WWF07357	0.83	0.84	0.84	0.891	structures/output/WWF07357/WWF07357_model.cif
WWF07362	0.84	0.86	0.86	0.912	structures/output/WWF07362/WWF07362_model.cif
WWF07388	0.86	0.87	0.87	0.867	structures/output/WWF07388/WWF07388_model.cif
WWF07391	0.81	0.82	0.82	0.888	structures/output/WWF07391/WWF07391_model.cif
WWF07393	0.84	0.83	0.83	0.862	structures/output/WWF07393/WWF07393_model.cif
WWF07398	0.77	0.77	0.77	0.873	structures/output/WWF07398/WWF07398_model.cif
WWF07406	0.84	0.81	0.81	0.882	structures/output/WWF07406/WWF07406_model.cif
WWF07413	0.84	0.88	0.88	0.919	structures/output/WWF07413/WWF07413_model.cif
WWF07419	0.79	0.75	0.75	0.822	structures/output/WWF07419/WWF07419_model.cif
WWF07420	0.85	0.84	0.84	0.895	structures/output/WWF07420/WWF07420_model.cif
WWF07426	0.84	0.85	0.85	0.908	structures/output/WWF07426/WWF07426_model.cif
WWF07434	0.84	0.86	0.86	0.888	structures/output/WWF07434/WWF07434_model.cif
WWF07435	0.87	0.85	0.85	0.885	structures/output/WWF07435/WWF07435_model.cif
WWF07439	0.8	0.65	0.65	0.695	structures/output/WWF07439/WWF07439_model.cif
WWF07442	0.84	0.8	0.8	0.906	structures/output/WWF07442/WWF07442_model.cif
WWF07450	0.92	0.93	0.93	0.955	structures/output/WWF07450/WWF07450_model.cif
WWF07454	0.83	0.83	0.83	0.905	structures/output/WWF07454/WWF07454_model.cif
WWF07455	0.75	0.76	0.76	0.865	structures/output/WWF07455/WWF07455_model.cif
WWF07457	0.87	0.66	0.66	0.694	structures/output/WWF07457/WWF07457_model.cif
WWF07460	0.83	0.84	0.84	0.883	structures/output/WWF07460/WWF07460_model.cif
WWF07461	0.89	0.89	0.89	0.932	structures/output/WWF07461/WWF07461_model.cif
WWF07462	0.72	0.42	0.42	0.57	structures/output/WWF07462/WWF07462_model.cif
WWF07463	0.82	0.8	0.8	0.884	structures/output/WWF07463/WWF07463_model.cif
WWF07465	0.8	0.58	0.58	0.679	structures/output/WWF07465/WWF07465_model.cif
WWF07467	0.71	0.71	0.71	0.762	structures/output/WWF07467/WWF07467_model.cif
WWF07479	0.89	0.88	0.88	0.918	structures/output/WWF07479/WWF07479_model.cif
WWF07480	0.8	0.73	0.73	0.769	structures/output/WWF07480/WWF07480_model.cif
WWF07488	0.85	0.86	0.86	0.919	structures/output/WWF07488/WWF07488_model.cif
WWF07491	0.85	0.83	0.83	0.893	structures/output/WWF07491/WWF07491_model.cif
WWF07503	0.89	0.84	0.84	0.903	structures/output/WWF07503/WWF07503_model.cif
WWF07510	0.85	0.84	0.84	0.894	structures/output/WWF07510/WWF07510_model.cif
WWF07512	0.84	0.76	0.76	0.791	structures/output/WWF07512/WWF07512_model.cif
WWF07516	0.85	0.8	0.8	0.836	structures/output/WWF07516/WWF07516_model.cif
WWF07517	0.89	0.9	0.9	0.925	structures/output/WWF07517/WWF07517_model.cif
WWF07519	0.83	0.84	0.84	0.884	structures/output/WWF07519/WWF07519_model.cif
WWF07521	0.76	0.71	0.71	0.764	structures/output/WWF07521/WWF07521_model.cif
WWF07523	0.84	0.8	0.8	0.87	structures/output/WWF07523/WWF07523_model.cif
WWF07526	0.87	0.87	0.87	0.923	structures/output/WWF07526/WWF07526_model.cif
WWF07530	0.82	0.8	0.8	0.892	structures/output/WWF07530/WWF07530_model.cif
WWF07535	0.87	0.84	0.84	0.915	structures/output/WWF07535/WWF07535_model.cif
WWF07537	0.78	0.77	0.77	0.859	structures/output/WWF07537/WWF07537_model.cif
WWF07545	0.86	0.85	0.85	0.936	structures/output/WWF07545/WWF07545_model.cif
WWF07547	0.8	0.76	0.76	0.835	structures/output/WWF07547/WWF07547_model.cif
WWF07553	0.9	0.86	0.86	0.945	structures/output/WWF07553/WWF07553_model.cif
WWF07554	0.93	0.94	0.94	0.946	structures/output/WWF07554/WWF07554_model.cif
WWF07557	0.85	0.7	0.7	0.737	structures/output/WWF07557/WWF07557_model.cif
WWF07558	0.86	0.85	0.85	0.902	structures/output/WWF07558/WWF07558_model.cif
WWF07560	0.84	0.83	0.83	0.898	structures/output/WWF07560/WWF07560_model.cif
WWF07561	0.88	0.87	0.87	0.93	structures/output/WWF07561/WWF07561_model.cif
WWF07562	0.91	0.9	0.9	0.903	structures/output/WWF07562/WWF07562_model.cif
WWF07566	0.8	0.81	0.81	0.865	structures/output/WWF07566/WWF07566_model.cif
WWF07567	0.84	0.82	0.82	0.908	structures/output/WWF07567/WWF07567_model.cif
WWF07570	0.89	0.86	0.86	0.917	structures/output/WWF07570/WWF07570_model.cif
WWF07579	0.9	0.87	0.87	0.904	structures/output/WWF07579/WWF07579_model.cif
WWF07583	0.76	0.63	0.63	0.74	structures/output/WWF07583/WWF07583_model.cif
WWF07591	0.8	0.8	0.8	0.885	structures/output/WWF07591/WWF07591_model.cif
WWF07592	0.8	0.75	0.75	0.802	structures/output/WWF07592/WWF07592_model.cif
WWF07598	0.86	0.85	0.85	0.907	structures/output/WWF07598/WWF07598_model.cif
WWF07607	0.85	0.81	0.81	0.813	structures/output/WWF07607/WWF07607_model.cif
WWF07608	0.87	0.87	0.87	0.928	structures/output/WWF07608/WWF07608_model.cif
WWF07614	0.81	0.79	0.79	0.874	structures/output/WWF07614/WWF07614_model.cif
WWF07615	0.86	0.81	0.81	0.846	structures/output/WWF07615/WWF07615_model.cif
WWF07616	0.79	0.64	0.64	0.681	structures/output/WWF07616/WWF07616_model.cif
WWF07623	0.83	0.85	0.85	0.913	structures/output/WWF07623/WWF07623_model.cif
WWF07626	0.82	0.82	0.82	0.877	structures/output/WWF07626/WWF07626_model.cif
WWF07627	0.83	0.68	0.68	0.727	structures/output/WWF07627/WWF07627_model.cif
WWF07628	0.87	0.85	0.85	0.89	structures/output/WWF07628/WWF07628_model.cif
WWF07633	0.84	0.82	0.82	0.889	structures/output/WWF07633/WWF07633_model.cif
WWF07634	0.8	0.73	0.73	0.748	structures/output/WWF07634/WWF07634_model.cif
WWF07638	0.9	0.88	0.88	0.942	structures/output/WWF07638/WWF07638_model.cif
WWF07639	0.81	0.81	0.81	0.877	structures/output/WWF07639/WWF07639_model.cif
WWF07643	0.86	0.86	0.86	0.915	structures/output/WWF07643/WWF07643_model.cif
WWF07646	0.82	0.8	0.8	0.818	structures/output/WWF07646/WWF07646_model.cif
WWF07659	0.78	0.55	0.55	0.642	structures/output/WWF07659/WWF07659_model.cif
WWF07661	0.84	0.87	0.87	0.909	structures/output/WWF07661/WWF07661_model.cif
WWF07663	0.85	0.85	0.85	0.91	structures/output/WWF07663/WWF07663_model.cif
WWF07664	0.89	0.87	0.87	0.91	structures/output/WWF07664/WWF07664_model.cif
WWF07665	0.79	0.75	0.75	0.842	structures/output/WWF07665/WWF07665_model.cif
WWF07669	0.78	0.64	0.64	0.717	structures/output/WWF07669/WWF07669_model.cif
WWF07671	0.79	0.79	0.79	0.885	structures/output/WWF07671/WWF07671_model.cif
WWF07682	0.73	0.7	0.7	0.777	structures/output/WWF07682/WWF07682_model.cif
WWF07686	0.89	0.83	0.83	0.891	structures/output/WWF07686/WWF07686_model.cif
WWF07698	0.82	0.83	0.83	0.909	structures/output/WWF07698/WWF07698_model.cif
WWF07700	0.83	0.82	0.82	0.894	structures/output/WWF07700/WWF07700_model.cif
WWF07704	0.81	0.78	0.78	0.87	structures/output/WWF07704/WWF07704_model.cif
WWF07706	0.87	0.89	0.89	0.933	structures/output/WWF07706/WWF07706_model.cif
WWF07707	0.85	0.85	0.85	0.906	structures/output/WWF07707/WWF07707_model.cif
WWF07709	0.87	0.9	0.9	0.929	structures/output/WWF07709/WWF07709_model.cif
WWF07710	0.71	0.68	0.68	0.788	structures/output/WWF07710/WWF07710_model.cif
WWF07714	0.87	0.87	0.87	0.925	structures/output/WWF07714/WWF07714_model.cif
WWF07721	0.83	0.81	0.81	0.89	structures/output/WWF07721/WWF07721_model.cif
WWF07723	0.7	0.5	0.5	0.683	structures/output/WWF07723/WWF07723_model.cif
WWF07728	0.82	0.84	0.84	0.884	structures/output/WWF07728/WWF07728_model.cif
WWF07729	0.85	0.89	0.89	0.928	structures/output/WWF07729/WWF07729_model.cif
WWF07730	0.75	0.78	0.78	0.856	structures/output/WWF07730/WWF07730_model.cif
WWF07734	0.81	0.79	0.79	0.85	structures/output/WWF07734/WWF07734_model.cif
WWF07735	0.85	0.85	0.85	0.879	structures/output/WWF07735/WWF07735_model.cif
WWF07736	0.86	0.86	0.86	0.888	structures/output/WWF07736/WWF07736_model.cif
WWF07737	0.87	0.85	0.85	0.902	structures/output/WWF07737/WWF07737_model.cif
WWF07738	0.66	0.57	0.57	0.675	structures/output/WWF07738/WWF07738_model.cif
WWF07744	0.92	0.93	0.93	0.948	structures/output/WWF07744/WWF07744_model.cif
WWF07752	0.85	0.84	0.84	0.913	structures/output/WWF07752/WWF07752_model.cif
WWF07763	0.95	0.94	0.94	0.942	structures/output/WWF07763/WWF07763_model.cif
WWF07764	0.86	0.82	0.82	0.867	structures/output/WWF07764/WWF07764_model.cif
WWF07776	0.85	0.87	0.87	0.914	structures/output/WWF07776/WWF07776_model.cif
WWF07781	0.87	0.85	0.85	0.919	structures/output/WWF07781/WWF07781_model.cif
WWF07782	0.82	0.78	0.78	0.821	structures/output/WWF07782/WWF07782_model.cif
WWF07783	0.85	0.84	0.84	0.904	structures/output/WWF07783/WWF07783_model.cif
WWF07784	0.87	0.87	0.87	0.923	structures/output/WWF07784/WWF07784_model.cif
WWF07788	0.83	0.83	0.83	0.892	structures/output/WWF07788/WWF07788_model.cif
WWF07789	0.87	0.87	0.87	0.903	structures/output/WWF07789/WWF07789_model.cif
WWF07792	0.79	0.7	0.7	0.784	structures/output/WWF07792/WWF07792_model.cif
WWF07794	0.78	0.63	0.63	0.695	structures/output/WWF07794/WWF07794_model.cif
WWF07797	0.89	0.89	0.89	0.911	structures/output/WWF07797/WWF07797_model.cif
WWF07802	0.87	0.87	0.87	0.897	structures/output/WWF07802/WWF07802_model.cif
WWF07805	0.81	0.63	0.63	0.685	structures/output/WWF07805/WWF07805_model.cif
WWF07808	0.8	0.81	0.81	0.875	structures/output/WWF07808/WWF07808_model.cif
WWF07809	0.77	0.62	0.62	0.728	structures/output/WWF07809/WWF07809_model.cif
WWF07810	0.86	0.89	0.89	0.922	structures/output/WWF07810/WWF07810_model.cif
WWF07814	0.82	0.78	0.78	0.877	structures/output/WWF07814/WWF07814_model.cif
WWF07820	0.81	0.81	0.81	0.875	structures/output/WWF07820/WWF07820_model.cif
WWF07822	0.9	0.87	0.87	0.897	structures/output/WWF07822/WWF07822_model.cif
WWF07830	0.86	0.86	0.86	0.919	structures/output/WWF07830/WWF07830_model.cif
WWF07831	0.81	0.78	0.78	0.843	structures/output/WWF07831/WWF07831_model.cif
WWF07834	0.75	0.77	0.77	0.86	structures/output/WWF07834/WWF07834_model.cif
WWF07839	0.77	0.64	0.64	0.709	structures/output/WWF07839/WWF07839_model.cif
WWF07840	0.87	0.85	0.85	0.905	structures/output/WWF07840/WWF07840_model.cif
WWF07844	0.88	0.84	0.84	0.856	structures/output/WWF07844/WWF07844_model.cif
WWF07845	0.82	0.82	0.82	0.881	structures/output/WWF07845/WWF07845_model.cif
WWF07847	0.85	0.84	0.84	0.904	structures/output/WWF07847/WWF07847_model.cif
WWF07850	0.8	0.82	0.82	0.879	structures/output/WWF07850/WWF07850_model.cif
WWF07851	0.74	0.57	0.57	0.663	structures/output/WWF07851/WWF07851_model.cif
WWF07854	0.83	0.83	0.83	0.892	structures/output/WWF07854/WWF07854_model.cif
WWF07861	0.87	0.86	0.86	0.926	structures/output/WWF07861/WWF07861_model.cif
WWF07863	0.81	0.84	0.84	0.886	structures/output/WWF07863/WWF07863_model.cif
WWF07864	0.91	0.87	0.87	0.921	structures/output/WWF07864/WWF07864_model.cif
WWF07872	0.86	0.79	0.79	0.809	structures/output/WWF07872/WWF07872_model.cif
WWF07873	0.85	0.84	0.84	0.904	structures/output/WWF07873/WWF07873_model.cif
WWF07878	0.82	0.81	0.81	0.897	structures/output/WWF07878/WWF07878_model.cif
WWF07882	0.81	0.81	0.81	0.87	structures/output/WWF07882/WWF07882_model.cif
WWF07883	0.91	0.88	0.88	0.925	structures/output/WWF07883/WWF07883_model.cif
WWF07890	0.82	0.86	0.86	0.902	structures/output/WWF07890/WWF07890_model.cif
WWF07891	0.81	0.85	0.85	0.867	structures/output/WWF07891/WWF07891_model.cif
WWF07892	0.81	0.73	0.73	0.781	structures/output/WWF07892/WWF07892_model.cif
WWF07893	0.92	0.93	0.93	0.954	structures/output/WWF07893/WWF07893_model.cif
WWF07902	0.76	0.78	0.78	0.857	structures/output/WWF07902/WWF07902_model.cif
WWF07906	0.83	0.83	0.83	0.883	structures/output/WWF07906/WWF07906_model.cif
WWF07909	0.89	0.88	0.88	0.932	structures/output/WWF07909/WWF07909_model.cif
WWF07910	0.76	0.54	0.54	0.62	structures/output/WWF07910/WWF07910_model.cif
WWF07912	0.89	0.91	0.91	0.934	structures/output/WWF07912/WWF07912_model.cif
WWF07915	0.71	0.43	0.43	0.517	structures/output/WWF07915/WWF07915_model.cif
WWF07916	0.87	0.91	0.91	0.927	structures/output/WWF07916/WWF07916_model.cif
WWF07919	0.82	0.84	0.84	0.888	structures/output/WWF07919/WWF07919_model.cif
WWF07922	0.87	0.87	0.87	0.912	structures/output/WWF07922/WWF07922_model.cif
WWF07925	0.83	0.84	0.84	0.893	structures/output/WWF07925/WWF07925_model.cif
WWF07926	0.76	0.54	0.54	0.629	structures/output/WWF07926/WWF07926_model.cif
WWF07927	0.82	0.82	0.82	0.867	structures/output/WWF07927/WWF07927_model.cif
WWF07931	0.82	0.76	0.76	0.839	structures/output/WWF07931/WWF07931_model.cif
WWF07932	0.9	0.91	0.91	0.933	structures/output/WWF07932/WWF07932_model.cif
WWF07933	0.87	0.84	0.84	0.906	structures/output/WWF07933/WWF07933_model.cif
WWF07938	0.89	0.89	0.89	0.934	structures/output/WWF07938/WWF07938_model.cif
WWF07943	0.71	0.51	0.51	0.581	structures/output/WWF07943/WWF07943_model.cif
WWF07949	0.85	0.84	0.84	0.902	structures/output/WWF07949/WWF07949_model.cif
WWF07953	0.92	0.91	0.91	0.907	structures/output/WWF07953/WWF07953_model.cif
WWF07957	0.8	0.72	0.72	0.825	structures/output/WWF07957/WWF07957_model.cif
WWF07961	0.87	0.87	0.87	0.899	structures/output/WWF07961/WWF07961_model.cif
WWF07964	0.76	0.75	0.75	0.818	structures/output/WWF07964/WWF07964_model.cif
WWF07974	0.89	0.89	0.89	0.921	structures/output/WWF07974/WWF07974_model.cif
WWF07975	0.74	0.65	0.65	0.734	structures/output/WWF07975/WWF07975_model.cif
WWF07977	0.78	0.71	0.71	0.797	structures/output/WWF07977/WWF07977_model.cif
WWF07980	0.83	0.77	0.77	0.877	structures/output/WWF07980/WWF07980_model.cif
WWF07981	0.85	0.87	0.87	0.918	structures/output/WWF07981/WWF07981_model.cif
WWF07984	0.83	0.82	0.82	0.896	structures/output/WWF07984/WWF07984_model.cif
WWF07985	0.81	0.8	0.8	0.891	structures/output/WWF07985/WWF07985_model.cif
WWF07988	0.87	0.84	0.84	0.906	structures/output/WWF07988/WWF07988_model.cif
WWF07992	0.85	0.84	0.84	0.905	structures/output/WWF07992/WWF07992_model.cif
WWF07995	0.85	0.84	0.84	0.892	structures/output/WWF07995/WWF07995_model.cif
WWF07998	0.79	0.75	0.75	0.786	structures/output/WWF07998/WWF07998_model.cif
WWF08000	0.85	0.86	0.86	0.875	structures/output/WWF08000/WWF08000_model.cif
WWF08002	0.86	0.9	0.9	0.935	structures/output/WWF08002/WWF08002_model.cif
WWF08004	0.75	0.73	0.73	0.806	structures/output/WWF08004/WWF08004_model.cif
WWF08009	0.81	0.81	0.81	0.895	structures/output/WWF08009/WWF08009_model.cif
WWF08010	0.82	0.83	0.83	0.898	structures/output/WWF08010/WWF08010_model.cif
WWF08012	0.86	0.87	0.87	0.926	structures/output/WWF08012/WWF08012_model.cif
WWF08013	0.76	0.54	0.54	0.634	structures/output/WWF08013/WWF08013_model.cif
WWF08016	0.87	0.85	0.85	0.899	structures/output/WWF08016/WWF08016_model.cif
WWF08018	0.9	0.91	0.91	0.912	structures/output/WWF08018/WWF08018_model.cif
WWF08022	0.76	0.57	0.57	0.642	structures/output/WWF08022/WWF08022_model.cif
WWF08027	0.95	0.93	0.93	0.95	structures/output/WWF08027/WWF08027_model.cif
WWF08030	0.81	0.81	0.81	0.87	structures/output/WWF08030/WWF08030_model.cif
WWF08034	0.83	0.84	0.84	0.905	structures/output/WWF08034/WWF08034_model.cif
WWF08035	0.9	0.9	0.9	0.938	structures/output/WWF08035/WWF08035_model.cif
WWF08043	0.81	0.78	0.78	0.874	structures/output/WWF08043/WWF08043_model.cif
WWF08049	0.85	0.78	0.78	0.889	structures/output/WWF08049/WWF08049_model.cif
WWF08055	0.8	0.84	0.84	0.885	structures/output/WWF08055/WWF08055_model.cif
WWF08058	0.79	0.55	0.55	0.621	structures/output/WWF08058/WWF08058_model.cif
WWF08069	0.8	0.59	0.59	0.606	structures/output/WWF08069/WWF08069_model.cif
WWF08077	0.85	0.9	0.9	0.94	structures/output/WWF08077/WWF08077_model.cif
WWF08083	0.78	0.79	0.79	0.865	structures/output/WWF08083/WWF08083_model.cif
WWF08088	0.81	0.8	0.8	0.871	structures/output/WWF08088/WWF08088_model.cif
WWF08103	0.82	0.83	0.83	0.884	structures/output/WWF08103/WWF08103_model.cif
WWF08108	0.83	0.83	0.83	0.899	structures/output/WWF08108/WWF08108_model.cif
WWF08109	0.81	0.79	0.79	0.84	structures/output/WWF08109/WWF08109_model.cif
WWF08112	0.77	0.57	0.57	0.724	structures/output/WWF08112/WWF08112_model.cif
WWF08113	0.83	0.82	0.82	0.904	structures/output/WWF08113/WWF08113_model.cif
WWF08120	0.85	0.71	0.71	0.778	structures/output/WWF08120/WWF08120_model.cif
WWF08127	0.84	0.84	0.84	0.905	structures/output/WWF08127/WWF08127_model.cif
WWF08130	0.85	0.85	0.85	0.874	structures/output/WWF08130/WWF08130_model.cif
WWF08133	0.73	0.7	0.7	0.841	structures/output/WWF08133/WWF08133_model.cif
WWF08136	0.79	0.81	0.81	0.893	structures/output/WWF08136/WWF08136_model.cif
WWF08141	0.89	0.9	0.9	0.942	structures/output/WWF08141/WWF08141_model.cif
WWF08143	0.89	0.86	0.86	0.909	structures/output/WWF08143/WWF08143_model.cif
WWF08146	0.89	0.91	0.91	0.938	structures/output/WWF08146/WWF08146_model.cif
WWF08147	0.82	0.84	0.84	0.918	structures/output/WWF08147/WWF08147_model.cif
WWF08149	0.86	0.77	0.77	0.836	structures/output/WWF08149/WWF08149_model.cif
WWF08153	0.74	0.73	0.73	0.763	structures/output/WWF08153/WWF08153_model.cif
WWF08154	0.82	0.76	0.76	0.814	structures/output/WWF08154/WWF08154_model.cif
WWF08155	0.88	0.88	0.88	0.923	structures/output/WWF08155/WWF08155_model.cif
WWF08160	0.81	0.78	0.78	0.88	structures/output/WWF08160/WWF08160_model.cif
WWF08161	0.86	0.85	0.85	0.921	structures/output/WWF08161/WWF08161_model.cif
WWF08169	0.78	0.74	0.74	0.849	structures/output/WWF08169/WWF08169_model.cif
WWF08171	0.81	0.85	0.85	0.904	structures/output/WWF08171/WWF08171_model.cif
WWF08175	0.76	0.77	0.77	0.851	structures/output/WWF08175/WWF08175_model.cif
WWF08176	0.9	0.91	0.91	0.932	structures/output/WWF08176/WWF08176_model.cif
WWF08179	0.78	0.71	0.71	0.791	structures/output/WWF08179/WWF08179_model.cif
WWF08181	0.72	0.66	0.66	0.783	structures/output/WWF08181/WWF08181_model.cif
WWF08182	0.85	0.86	0.86	0.896	structures/output/WWF08182/WWF08182_model.cif
WWF08185	0.73	0.64	0.64	0.793	structures/output/WWF08185/WWF08185_model.cif
WWF08189	0.88	0.88	0.88	0.914	structures/output/WWF08189/WWF08189_model.cif
WWF08201	0.83	0.85	0.85	0.88	structures/output/WWF08201/WWF08201_model.cif
WWF08208	0.85	0.81	0.81	0.865	structures/output/WWF08208/WWF08208_model.cif
WWF08220	0.8	0.81	0.81	0.859	structures/output/WWF08220/WWF08220_model.cif
WWF08221	0.83	0.84	0.84	0.9	structures/output/WWF08221/WWF08221_model.cif
WWF08224	0.78	0.62	0.62	0.696	structures/output/WWF08224/WWF08224_model.cif
WWF08225	0.86	0.82	0.82	0.876	structures/output/WWF08225/WWF08225_model.cif
WWF08226	0.82	0.73	0.73	0.811	structures/output/WWF08226/WWF08226_model.cif
WWF08227	0.75	0.64	0.64	0.774	structures/output/WWF08227/WWF08227_model.cif
WWF08228	0.81	0.79	0.79	0.857	structures/output/WWF08228/WWF08228_model.cif
WWF08234	0.88	0.84	0.84	0.909	structures/output/WWF08234/WWF08234_model.cif
WWF08236	0.81	0.62	0.62	0.726	structures/output/WWF08236/WWF08236_model.cif
WWF08241	0.75	0.6	0.6	0.67	structures/output/WWF08241/WWF08241_model.cif
WWF08242	0.81	0.64	0.64	0.81	structures/output/WWF08242/WWF08242_model.cif
WWF08243	0.82	0.81	0.81	0.876	structures/output/WWF08243/WWF08243_model.cif
WWF08248	0.84	0.89	0.89	0.932	structures/output/WWF08248/WWF08248_model.cif
WWF08253	0.86	0.82	0.82	0.888	structures/output/WWF08253/WWF08253_model.cif
WWF08255	0.88	0.89	0.89	0.936	structures/output/WWF08255/WWF08255_model.cif
WWF08262	0.75	0.64	0.64	0.703	structures/output/WWF08262/WWF08262_model.cif
WWF08264	0.86	0.83	0.83	0.906	structures/output/WWF08264/WWF08264_model.cif
WWF08273	0.84	0.84	0.84	0.904	structures/output/WWF08273/WWF08273_model.cif
WWF08279	0.8	0.8	0.8	0.897	structures/output/WWF08279/WWF08279_model.cif
WWF08282	0.88	0.82	0.82	0.899	structures/output/WWF08282/WWF08282_model.cif
WWF08284	0.82	0.85	0.85	0.889	structures/output/WWF08284/WWF08284_model.cif
WWF08288	0.94	0.93	0.93	0.928	structures/output/WWF08288/WWF08288_model.cif
WWF08289	0.85	0.87	0.87	0.924	structures/output/WWF08289/WWF08289_model.cif
WWF08291	0.87	0.87	0.87	0.922	structures/output/WWF08291/WWF08291_model.cif
WWF08294	0.82	0.82	0.82	0.902	structures/output/WWF08294/WWF08294_model.cif
WWF08296	0.81	0.8	0.8	0.907	structures/output/WWF08296/WWF08296_model.cif
WWF08299	0.9	0.91	0.91	0.942	structures/output/WWF08299/WWF08299_model.cif
WWF08300	0.89	0.88	0.88	0.907	structures/output/WWF08300/WWF08300_model.cif
WWF08302	0.89	0.9	0.9	0.913	structures/output/WWF08302/WWF08302_model.cif
WWF08310	0.83	0.75	0.75	0.906	structures/output/WWF08310/WWF08310_model.cif
WWF08311	0.83	0.83	0.83	0.891	structures/output/WWF08311/WWF08311_model.cif
WWF08313	0.68	0.68	0.68	0.832	structures/output/WWF08313/WWF08313_model.cif
WWF08318	0.91	0.92	0.92	0.941	structures/output/WWF08318/WWF08318_model.cif
WWF08324	0.87	0.88	0.88	0.92	structures/output/WWF08324/WWF08324_model.cif
WWF08326	0.86	0.84	0.84	0.892	structures/output/WWF08326/WWF08326_model.cif
WWF08333	0.87	0.87	0.87	0.908	structures/output/WWF08333/WWF08333_model.cif
WWF08338	0.92	0.95	0.95	0.954	structures/output/WWF08338/WWF08338_model.cif
WWF08340	0.73	0.75	0.75	0.845	structures/output/WWF08340/WWF08340_model.cif
WWF08345	0.85	0.87	0.87	0.913	structures/output/WWF08345/WWF08345_model.cif
WWF08348	0.87	0.88	0.88	0.924	structures/output/WWF08348/WWF08348_model.cif
WWF08350	0.91	0.91	0.91	0.941	structures/output/WWF08350/WWF08350_model.cif
WWF08351	0.77	0.71	0.71	0.758	structures/output/WWF08351/WWF08351_model.cif
WWF08357	0.87	0.86	0.86	0.911	structures/output/WWF08357/WWF08357_model.cif
WWF08362	0.7	0.75	0.75	0.806	structures/output/WWF08362/WWF08362_model.cif
WWF08364	0.75	0.72	0.72	0.808	structures/output/WWF08364/WWF08364_model.cif
WWF08366	0.84	0.88	0.88	0.928	structures/output/WWF08366/WWF08366_model.cif
WWF08370	0.88	0.87	0.87	0.898	structures/output/WWF08370/WWF08370_model.cif
WWF08371	0.9	0.92	0.92	0.916	structures/output/WWF08371/WWF08371_model.cif
WWF08375	0.79	0.84	0.84	0.85	structures/output/WWF08375/WWF08375_model.cif
WWF08383	0.85	0.85	0.85	0.916	structures/output/WWF08383/WWF08383_model.cif
WWF08390	0.8	0.8	0.8	0.857	structures/output/WWF08390/WWF08390_model.cif
WWF08391	0.81	0.87	0.87	0.923	structures/output/WWF08391/WWF08391_model.cif
WWF08393	0.85	0.86	0.86	0.922	structures/output/WWF08393/WWF08393_model.cif
WWF08395	0.81	0.71	0.71	0.766	structures/output/WWF08395/WWF08395_model.cif
WWF08396	0.89	0.86	0.86	0.899	structures/output/WWF08396/WWF08396_model.cif
WWF08397	0.91	0.91	0.91	0.941	structures/output/WWF08397/WWF08397_model.cif
WWF08399	0.84	0.78	0.78	0.817	structures/output/WWF08399/WWF08399_model.cif
WWF08402	0.92	0.9	0.9	0.902	structures/output/WWF08402/WWF08402_model.cif
WWF08406	0.78	0.73	0.73	0.858	structures/output/WWF08406/WWF08406_model.cif
WWF08408	0.91	0.91	0.91	0.921	structures/output/WWF08408/WWF08408_model.cif
WWF08409	0.81	0.82	0.82	0.897	structures/output/WWF08409/WWF08409_model.cif
WWF08413	0.71	0.52	0.52	0.612	structures/output/WWF08413/WWF08413_model.cif
WWF08422	0.82	0.81	0.81	0.906	structures/output/WWF08422/WWF08422_model.cif
WWF08424	0.82	0.82	0.82	0.885	structures/output/WWF08424/WWF08424_model.cif
WWF08426	0.88	0.87	0.87	0.934	structures/output/WWF08426/WWF08426_model.cif
WWF08427	0.84	0.84	0.84	0.903	structures/output/WWF08427/WWF08427_model.cif
WWF08428	0.82	0.79	0.79	0.858	structures/output/WWF08428/WWF08428_model.cif
WWF08430	0.9	0.89	0.89	0.926	structures/output/WWF08430/WWF08430_model.cif
WWF08432	0.87	0.88	0.88	0.922	structures/output/WWF08432/WWF08432_model.cif
